label,join_time,index_build_time,dataset
1Lazy-ISJ,88.5683,55.2952,OSM
1Comp-ISJ,86.2625,49.0578,OSM
2Eager-ISJ,132.463,161.478,OSM
2Lazy-ISJ,135.143,97.8153,OSM
2Comp-ISJ,129.656,113.531,OSM
1CEager-ISJ,39.6146,95.4462,OSM
1CLazy-ISJ,39.0347,74.9969,OSM
1CComp-ISJ,35.9798,71.7355,OSM
2CEager-ISJ,13.5575,219.282,OSM
2CLazy-ISJ,14.8571,172.355,OSM
2CComp-ISJ,10.1563,164.817,OSM
NISJ,53.5676,0.0,Face
1Eager-ISJ,87.7895,86.0369,Face
1Lazy-ISJ,87.2762,53.9531,Face
1Comp-ISJ,84.5879,49.6194,Face
2Eager-ISJ,132.279,160.214,Face
2Lazy-ISJ,133.184,100.453,Face
2Comp-ISJ,128.906,101.47,Face
1CEager-ISJ,39.9228,101.656,Face
1CLazy-ISJ,39.4769,77.4467,Face
1CComp-ISJ,35.8696,72.152,Face
2CEager-ISJ,13.6101,222.725,Face
2CLazy-ISJ,15.4008,168.927,Face
2CComp-ISJ,10.1328,161.743,Face
NISJ,55.85,0.0,Unif
1Eager-ISJ,78.7693,54.9584,Unif
1Lazy-ISJ,77.9648,37.7544,Unif
1Comp-ISJ,75.4186,37.0188,Unif
2Eager-ISJ,113.267,111.886,Unif
2Lazy-ISJ,113.657,73.5049,Unif
2Comp-ISJ,108.136,70.042,Unif
1CEager-ISJ,37.8984,65.3817,Unif
1CLazy-ISJ,38.3308,46.2622,Unif
1CComp-ISJ,36.5712,44.6047,Unif
2CEager-ISJ,10.0945,145.801,Unif
2CLazy-ISJ,10.9792,112.498,Unif
2CComp-ISJ,7.29544,109.259,Unif
NISJ,52.4732,0.0,Skew
1Eager-ISJ,68.0417,97.2354,Skew
1Lazy-ISJ,66.841,59.0521,Skew
1Comp-ISJ,67.8044,57.9168,Skew
2Eager-ISJ,88.3993,176.615,Skew
2Lazy-ISJ,88.637,108.217,Skew
2Comp-ISJ,89.4213,97.3841,Skew
1CEager-ISJ,33.1205,114.264,Skew
1CLazy-ISJ,34.193,74.5544,Skew
1CComp-ISJ,33.6079,72.6448,Skew
2CEager-ISJ,8.13142,232.095,Skew
2CLazy-ISJ,9.34292,162.798,Skew
2CComp-ISJ,9.03428,162.575,Skew
