sum_join_time,sum_index_build_time,label,T
519.685,15.3758,2Comp-ISJ,2
295.987,10.5861,CComp-INLJ,2
283.271,22.4555,CEager-INLJ,2
520.712,15.623,2Comp-ISJ,5
312.484,10.3448,CComp-INLJ,5
284.002,22.263,CEager-INLJ,5
521.845,15.4355,2Comp-ISJ,10
313.4,10.4971,CComp-INLJ,10
282.721,22.3336,CEager-INLJ,10
519.619,14.6551,2Comp-ISJ,40
323.814,10.1225,CComp-INLJ,40
282.238,22.51,CEager-INLJ,40
